,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
302,302,0.5899694351857984,0.5176464182741097,0.23279385111908898,0.560914539601102,65.15383031619264,FSD,43.57888889,-96.74083333,US,SD,centre,no
303,303,0.3540385391680372,0.04414980746034805,0.23279385111908898,0.560914539601102,65.15383031619264,GUC,38.53388889,-106.93888889,US,CO,west,no
304,304,0.492463789598452,0.10620860029598632,0.23279385111908898,0.560914539601102,65.15383031619264,HDN,40.48166667,-107.22,US,CO,west,no
305,305,0.7104646694417979,0.03742796207290883,0.23279385111908898,0.560914539601102,65.15383031619264,HHH,32.21666667,-80.68333333,US,SC,east,no
306,306,0.7753959548173807,0.11759289026980009,0.23279385111908898,0.560914539601102,65.15383031619264,LFT,30.20472222,-91.9875,US,LA,centre,no
307,307,0.36260224105187444,0.009751075318187372,0.23279385111908898,0.560914539601102,65.15383031619264,LSF,32.33777778,-84.99222222,US,GA,east,no
308,308,0.6262315596634247,0.037492001478682355,0.23279385111908898,0.560914539601102,65.15383031619264,LWB,37.85972222,-80.39861111,US,WV,east,no
309,309,0.6597957116390759,0.03352785709947272,0.23279385111908898,0.560914539601102,65.15383031619264,LYH,37.32694444,-79.20111111,US,VA,east,no
310,310,0.7052587320503537,0.016801943222255204,0.23279385111908898,0.560914539601102,65.15383031619264,MEI,32.33722222,-88.74916667,US,MS,centre,no
311,311,0.8222477610271263,0.020445800116655442,0.23279385111908898,0.560914539601102,65.15383031619264,MKG,43.17055556,-86.2375,US,MI,east,no
312,312,0.5035939827308084,0.09276976915180711,0.23279385111908898,0.560914539601102,65.15383031619264,MLU,32.51111111,-92.03888889,US,LA,centre,no
313,313,0.5792085148642651,0.021432467222603217,0.23279385111908898,0.560914539601102,65.15383031619264,MSL,34.74527778,-87.61027778,US,AL,centre,no
314,314,0.4947113601659041,0.07682050870495057,0.23279385111908898,0.560914539601102,65.15383031619264,MTJ,38.50055556,-107.89472222,US,CO,west,no
315,315,0.8286842660212603,0.01653639671192462,0.23279385111908898,0.560914539601102,65.15383031619264,OWB,37.74083333,-87.16583333,US,KY,centre,no
316,316,0.8797271223284343,0.10496888908854966,0.23279385111908898,0.560914539601102,65.15383031619264,PFN,30.2125,-85.68194444,US,FL,east,no
317,317,0.8590082295268789,0.21175873460498207,0.23279385111908898,0.560914539601102,65.15383031619264,PHF,37.13166667,-76.49333333,US,VA,east,no
318,318,0.7978280398573259,0.2664131518201271,0.23279385111908898,0.560914539601102,65.15383031619264,PIA,40.66138889,-89.68722222,US,IL,east,no
319,319,0.2064982770619685,0.026309128081667223,0.23279385111908898,0.560914539601102,65.15383031619264,PIH,42.91333333,-112.59444444,US,ID,west,no
320,320,0.5089155101324614,0.15059275894825241,0.23279385111908898,0.560914539601102,65.15383031619264,PTK,42.665,-83.41805556,US,MI,east,no
321,321,0.5550483570974045,0.09421945810169195,0.23279385111908898,0.560914539601102,65.15383031619264,SUS,38.66194444,-90.65,US,MO,centre,no
322,322,0.91324176453992,0.2540748176694901,0.23279385111908898,0.560914539601102,65.15383031619264,SWF,41.50583333,-74.09722222,US,NY,east,no
323,323,0.6077812587680328,0.016838172873698643,0.23279385111908898,0.560914539601102,65.15383031619264,VLD,30.78222222,-83.27694444,US,GA,east,no
324,324,0.46337996756843275,0.009571629905153183,0.23279385111908898,0.560914539601102,65.15383031619264,WRB,32.64,-83.59194444,US,GA,east,no
325,325,0.3124306253170197,0.35966224067229996,0.23279385111908898,0.560914539601102,65.15383031619264,RAP,44.04527778,-103.05694444,US,SD,centre,no
326,326,0.8777016215749707,0.19359141772323749,0.23279385111908898,0.560914539601102,65.15383031619264,SCE,40.77083333,-77.88138889,US,PA,east,no
327,327,0.44512740767508197,0.04250587708463859,0.23279385111908898,0.560914539601102,65.15383031619264,SUX,42.40194444,-96.38416667,US,IA,centre,no
328,328,0.580598354164975,0.01338001182059232,0.23279385111908898,0.560914539601102,65.15383031619264,AUG,44.31805556,-69.79666667,US,ME,east,no
329,329,0.4898131411086575,0.021525647905421923,0.23279385111908898,0.560914539601102,65.15383031619264,BHB,44.44888889,-68.36166667,US,ME,east,no
330,330,0.23776092742035548,0.030739574013502798,0.23279385111908898,0.560914539601102,65.15383031619264,CDC,37.7025,-113.09611111,US,UT,west,no
331,331,0.849987013390346,0.12239606258189552,0.23279385111908898,0.560914539601102,65.15383031619264,CKB,39.29555556,-80.22944444,US,WV,east,no
