,index,x0,x1,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
446,446,0.340426796065242,0.7361348862422935,0.019785954222956887,0.5677354772748359,0.42862820352776937,161.42496229148412,HIO,45.54055556,-122.94861111,US,OR,west,no
447,447,0.4527891243799468,0.6572538540211448,0.0188877370235606,0.5677354772748359,0.42862820352776937,161.42496229148412,HSH,35.97277778,-115.13444444,US,NV,west,no
448,448,0.22836755856036448,0.6716051739998894,0.008113674446867641,0.5677354772748359,0.42862820352776937,161.42496229148412,MSC,33.46083333,-111.72833333,US,AZ,west,no
449,449,0.24110223384750187,0.25125462239370183,0.05063818393502187,0.5677354772748359,0.42862820352776937,161.42496229148412,OPF,25.90694444,-80.28027778,US,FL,east,no
450,450,0.283988910044673,0.3428744328569753,0.034391137675784396,0.5677354772748359,0.42862820352776937,161.42496229148412,ORL,28.54416667,-81.33555556,US,FL,east,no
451,451,0.2957649869248021,0.8774858947522565,0.08161836530404094,0.5677354772748359,0.42862820352776937,161.42496229148412,OTH,43.41888889,-124.24,US,OR,west,no
452,452,0.35524136134238876,0.5833836248586456,0.024506447739200854,0.5677354772748359,0.42862820352776937,161.42496229148412,PDK,33.875,-84.30222222,US,GA,east,no
453,453,0.16780731633276108,0.505883219957128,0.022063255774834513,0.5677354772748359,0.42862820352776937,161.42496229148412,PSF,42.42666667,-73.29166667,US,MA,east,no
454,454,0.1616476842272956,0.7239348824649272,0.10829043604651695,0.5677354772748359,0.42862820352776937,161.42496229148412,PVU,40.21805556,-111.72222222,US,UT,west,no
455,455,0.36368700676179844,0.5050638742813042,0.008418183691947141,0.5677354772748359,0.42862820352776937,161.42496229148412,RBD,32.68027778,-96.86722222,US,TX,centre,no
456,456,0.24236984032405193,0.19253768727357085,0.015451586937198785,0.5677354772748359,0.42862820352776937,161.42496229148412,RIL,39.51805556,-107.77916667,US,CO,west,no
457,457,0.5846200758973356,0.4216686006232011,0.007729041153902825,0.5677354772748359,0.42862820352776937,161.42496229148412,SAA,41.445,-106.81,US,WY,west,no
458,458,0.207656599637089,0.8072931216287992,0.033853594771513756,0.5677354772748359,0.42862820352776937,161.42496229148412,SAC,38.5125,-121.4925,US,CA,west,no
459,459,0.20437823652873555,0.24867475873601114,0.09657351799801217,0.5677354772748359,0.42862820352776937,161.42496229148412,SLN,38.79083333,-97.6525,US,KS,centre,no
460,460,0.43738886814196015,0.44061802060064387,0.007792508683800062,0.5677354772748359,0.42862820352776937,161.42496229148412,SPW,43.16388889,-95.20083333,US,IA,centre,no
461,461,0.20779370941916403,0.7728965733303721,0.04435111249326027,0.5677354772748359,0.42862820352776937,161.42496229148412,STS,38.50916667,-122.81166667,US,CA,west,no
